id,text,timestamp,user,platform,likes,comments_count,video_views,is_video,image_url,post_url,account_followers,account_verified,year,month,day,hour,day_of_week,is_weekend,hashtags,mentions
DQEi7qajXCZ,Accidente registrado en la Autovia del Este próximo al puente de San Pedro.,2025-10-21 12:19:36,accidentes_rd,instagram,174,3,13812,True,https://scontent.cdninstagram.com/v/t51.71878-15/568446707_1156544063074254_8688768747623756342_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzc0ODI3NDQyMzQ1MjIzMzg4MQ%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=3cOtjg3-Zu0Q7kNvwELe1Rc&_nc_oc=AdnpX08TCxIn-PqpCFFZdwsQwdLVCywXI0-IIR5Q20ZPr92T-N_8izT-OA0k8dfUSoo_8YaeqbWY4Rwm3kIgqij_&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=kAHin2MHl8wUjQ3iZ1AHng&oh=00_AfjFU5w8z58Ks2UQaKFRA1FrxGlbLkx-rJrgrcS68Loy4Q&oe=6913677D,https://instagram.com/p/DQEi7qajXCZ,717509,True,2025,10,21,12,Tuesday,False,,
DQEhA9djSqQ,Vehículo incendiado en la Av. John F. Kennedy & Av. Abraham Lincoln próximo a Ágora.,2025-10-21 12:02:44,accidentes_rd,instagram,284,12,11785,True,https://scontent.cdninstagram.com/v/t51.71878-15/569395842_1783442572297575_1508292643645578783_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzc0ODI2NTk5MTQwODAwMzcyOA%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=RdwX18N9YfMQ7kNvwGs7nKm&_nc_oc=AdmqClaTmOgk5DHDh1de8ACYMXYlmrhq4tjyDNk8JWPYXZlNJTGVkUujLDNPSFlTGj72cjDElIzGLUutKETo1r4P&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=kAHin2MHl8wUjQ3iZ1AHng&oh=00_AfgMC51zyebJoLPp3v7GUf1dV8uqLR7aLrBm7o9pdGqXBg&oe=69135346,https://instagram.com/p/DQEhA9djSqQ,717509,True,2025,10,21,12,Tuesday,False,,
DQDBRwJDzYz,"🍷🥃🍺 Mismo lugar. Distintas bebidas. Resultados MUY diferentes.

En nuestro último experimento social pusimos a prueba cómo el alcohol realmente impacta… y créenos, no importa cómo te sientas, los reflejos NO mienten 🚨
⁠
Y ya que hablamos de seguridad… 👀
Hay otro riesgo que muchos ignoran: las bolsas de aire Takata.
Si tu carro está afectado por el recall, podrían explotar al activarse 😳
⁠
✅ Verifícalo GRATIS y cámbialas sin costo.
La seguridad no solo empieza cuando te montas… también con lo que llevas dentro del carro.

#CódigoVial #CódigoVialPodcast #CódigoVialRD #SeguridadVial #TakataRecall #ExperimentoSocial #Alcoholimetro #Prevención",2025-10-20 22:07:27,codigovialpodcast,instagram,195,10,15773,True,https://scontent.cdninstagram.com/v/t51.71878-15/568476753_1335507238070217_2437839338302957554_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc0Nzg0NDkzMjg3MTU5OTY2Nw%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=9dPEtfRwC8IQ7kNvwGmTZ9-&_nc_oc=AdkhaY2w7_T119nehxgHy1CsprbgXJba-UIupW3pWgRvg2eu9VkrXDtWz1aWJY94EfTdksQ2tZjIeGFCK304A-SR&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=kAHin2MHl8wUjQ3iZ1AHng&oh=00_Afhpjn7hS9jZSsznPdyFV-7FJl8b3C0u43OXMdy0gaTvLw&oe=69136BF0,https://instagram.com/p/DQDBRwJDzYz,108040,False,2025,10,20,22,Monday,False,"códigovial, códigovialpodcast, códigovialrd, seguridadvial, takatarecall, experimentosocial, alcoholimetro, prevención",
DQC-6KijU4g,Opiniones encontradas los leo. 🤣🤣,2025-10-20 21:45:51,accidentes_rd,instagram,3175,456,45582,True,https://scontent.cdninstagram.com/v/t51.71878-15/567826838_827922009827765_5409912032388068693_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc0NzgzNDUxNTg1NjExNzI4MDExNjU1MTc1MTkwNTcyNzc%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=TL7k7jB7am0Q7kNvwFupWvj&_nc_oc=Adm-YVylGSmn8JOH_-OnfNlULThugJ6xBu73Wl7frmKM6ExdnIHE6-9Hyr72tiCQA3ZXrzXFVDnhWcR_b2DnK2iV&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=kAHin2MHl8wUjQ3iZ1AHng&oh=00_Afizjw-u9ZgNspp_ncUFjLLfyTSmgH8pb511XAn6-pMoLQ&oe=69134608,https://instagram.com/p/DQC-6KijU4g,717509,True,2025,10,20,21,Monday,False,,
DQCkSLujdnp,Accidente registrado en la avenida Nicolás de Ovando próximo al supermercado olé.,2025-10-20 17:53:12,accidentes_rd,instagram,530,74,24493,True,https://scontent.cdninstagram.com/v/t51.71878-15/566628769_1276555910892211_1668430995327769449_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzc0NzcxNzQxOTE0Mjg2MzMzNw%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=-aZyFdZlCOUQ7kNvwEkr71u&_nc_oc=AdkeZfRg5bLru6zfgIV9Fe3KflCAoIoMnLLBp0IoRKV8LiMTKrdTPvlzCvNAGrP95m12yqBWgE3gnzOOFn2kZaj4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=s11at_rJXAVyrldgW2gJvw&oh=00_AfjouRZacBDgxKX3jA8h1f22SJMUb9_cAZPTtIBF83dVYg&oe=6913603B,https://instagram.com/p/DQCkSLujdnp,717509,True,2025,10,20,17,Monday,False,,
DQCiwEFDVkF,Accidente registrado en la Carretera Mella & Calle José Antonio Jiménez.,2025-10-20 17:39:16,accidentes_rd,instagram,291,24,17239,True,https://scontent.cdninstagram.com/v/t51.71878-15/567431438_1131669452460606_1134705389765472423_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzc0NzcxMDY3NjQyMTY2Mjk4MQ%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=GIneUXCg9IkQ7kNvwEDAH8D&_nc_oc=Adl6a79OPSlbXXybY232Kjm2LG-3AGyHtR_FJcQZebyTJJ2FKFsAh7OFKmjlxQTon4sX4TEVz7EQc3IThQP7y3LY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=s11at_rJXAVyrldgW2gJvw&oh=00_Afh-Two75f63flbbPCl7VNiUd9gibtmsRg7FaUokxKCuWg&oe=6913781B,https://instagram.com/p/DQCiwEFDVkF,717509,True,2025,10,20,17,Monday,False,,
DQCXmOvjWAO,"La colocación de vialetas es clave para mejorar la visibilidad en autopistas y carreteras, ayudando a reducir el riesgo de accidentes 💥🚗

Como parte de una iniciativa de RD Vial, se instalaron vialetas en la Circunvalación de Santo Domingo, y pronto su instalación se extenderá a otras vías del país 👌

👉 Cuentame en los comentarios, ¿en cuál carretera te gustaría verlas próximamente?

#RDVial #SeguridadVial #AccidentesRD",2025-10-20 16:03:56,accidentes_rd,instagram,2023,218,20678,True,https://scontent.cdninstagram.com/v/t51.71878-15/569075794_830724832652810_7571613456688732044_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=Mzc0NzY2MTYyMjE2NTcyNTE5OA%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=0WoWR0sT8sQQ7kNvwHFSCs3&_nc_oc=AdlsPwYvHsUnLyNaTjXiD79uvPYaDV_X6Sir2UKuES5UW8VZ60JaLoWGMNRTDHW7KZBB5yrH1CuRDZKiJzCovmGt&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=s11at_rJXAVyrldgW2gJvw&oh=00_Afi2GswXbKw8lq7TJ4bhV05HXnQS4Q8G_7vDVLUGDMkJDw&oe=691376D5,https://instagram.com/p/DQCXmOvjWAO,717509,True,2025,10,20,16,Monday,False,"rdvial, seguridadvial, accidentesrd",
DQCBF-WjfzJ,"Accidente registrado en la Autopista Joaquín Balaguer Navarrete-Jicomé. 

En el lugar se encuentran unidades del Sistema Nacional de Atención a Emergencias y seguridad 9-1-1",2025-10-20 12:45:36,accidentes_rd,instagram,105,4,6278,True,https://scontent.cdninstagram.com/v/t51.71878-15/567485135_1339804361025846_7338201429739229591_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzc0NzU2MjY0ODUxOTk2NTg5Nw%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM4LnNkci5DMyJ9&_nc_ohc=MpGJ1NoGMNcQ7kNvwFqX6hw&_nc_oc=Adm5uLDThKW-m9oxc9LY08TjBYeL9LF8PdK1Jx4etMhYCVihp2yElscZ7zYlPEBW7BK2_i-5Wj3g3NB1Oj5GE5AJ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=s11at_rJXAVyrldgW2gJvw&oh=00_AfjpB1oAf8thDh64dImtItcIdb-8z2Do7Nrkig_z_bffRg&oe=691377C3,https://instagram.com/p/DQCBF-WjfzJ,717509,True,2025,10,20,12,Monday,False,,
DQB95NpDWcS,Accidente registrado en la autopista Duarte próximo a Plaza Lama.,2025-10-20 12:17:18,accidentes_rd,instagram,1706,247,71492,True,https://scontent.cdninstagram.com/v/t51.71878-15/567338476_834918258926672_9175246850736274275_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzc0NzU0ODU3NzQ0MzcwMjU0Ng%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=aVnqhX4_a4oQ7kNvwHQNSi6&_nc_oc=AdlfPFUQDO2_an788bBxJn9xJRpKBgL3VH9cPtDN5i3XaGXmxMN-Hg1M0ulyaj0k8Z4KxAYASUqvv1Gc-NtvnQoX&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=s11at_rJXAVyrldgW2gJvw&oh=00_AfgMdWyh266m8zm5zXy1MzSxfkZVcqHHQbRvbE46newHow&oe=69135B3D,https://instagram.com/p/DQB95NpDWcS,717509,True,2025,10,20,12,Monday,False,,
DQA2GUXDcHI,Accidente registrado en la Calle Francisco Prats Ramírez & Calle Teatro Nacional.,2025-10-20 01:49:50,accidentes_rd,instagram,601,112,27230,True,https://scontent.cdninstagram.com/v/t51.71878-15/567171212_789388740658980_8732910130554105734_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzc0NzIzMjgxODY2MjMyNjcyOA%3D%3D.3-ccb1-7&ccb=1-7&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=033Ede3Sfy8Q7kNvwHOmuF4&_nc_oc=Adk60j503nSjB6hmqW8Lw6yC4ixh2OO7FbCWT5ZqR3enDEBhAXSZQTn6vnFlSl1bu0_XjYlf9Po8JsjSIS_Kj5s-&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=s11at_rJXAVyrldgW2gJvw&oh=00_AfhFgXcme_8ad9s0TBjUQ_neZ1bWCn9W12ieiouHPhzc-A&oe=69134E4D,https://instagram.com/p/DQA2GUXDcHI,717509,True,2025,10,20,1,Monday,False,,
